num,street,type,City,Zip,Page,lat,lng,Address
146,Hodges,Lane,,65737,29,,,146 Shadow Valley Dr
1611,Lane Branch,Road,Crane,65633,29,36.9216454,-93.48030432,1611 Lane branch Rd
263,Mayden,Lane,,65616,29,36.653886,-93.2190606,263 Mayden Ln
35,North Caps Cove,Lane,Branson,65616,29,36.62402826,-93.34863941,35 N Caps Cove 
8,Pine,Lane,Kimberling City,65686,29,36.63615173,-93.43454487,8 Pine Lane
80,Spinnaker,Lane,Kimberling City,65686,29,36.64175437,-93.4127625,80 Spinnaken
934,Tablerock,Circle,Branson,65616,29,36.62323614,-93.3416189,934 Tablerock Cir
496,Tunnel,Drive,Reeds Spring,65737,29,36.71765274,-93.36723831,496 Tunnel Dr
24,Village,Trail,Branson ,65616,29,36.63524342,-93.34286332,24 Village Trail #1709
49,Fellowship,Lane,Blue Eye,65611,30,36.52053885,-93.37706908,49 Zion Rd
180,Grace Chapel,Road,Blue Eye,65611,30,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,30,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,30,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,30,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,30,36.5179394,-93.3842518,180 Grace Chaple 
1091,Peace in the Valley,Road,Blue Eye,65611,30,36.5237559,-93.3776603,1091 Peace In Valley Rd
1091,Peace in the Valley,Road,Blue Eye,65611,30,36.5237559,-93.3776603,1091 Peace In Valley Rd
307,Prayer Garden,Lane,Lampe ,65681,30,36.54592766,-93.4749697,307 Prayer Garden 
186,Rejoice,Lane,Blue Eye,65611,30,36.51601528,-93.38207583,186 Rejoice 
393,Alyeska Point,Road,Lampe ,65681,31,36.58072931,-93.48657978,393 Alyeska 
1191,Broken Arrow,Road,Lampe ,65681,31,36.56022855,-93.46287531,1191 Broken Arrow 
327,Fairwood,Road,Lampe ,65681,31,36.56970936,-93.48571318,327 Fairwood Rd
648,Labradore,Lane,,65681,31,,,648 Labrador
5313,MO 13,,Lampe ,65681,31,36.54759717,-93.43181566,5313 State Hwy 13
6463,MO 13,,Lampe ,65681,31,36.5626635,-93.4390588,6463 State Hwy 13
6619,MO 13,,Lampe ,65681,31,36.5645281,-93.4375294,6619 State Hwy 13
200,Timeline,Road,Lampe ,65681,31,36.56775,-93.483194,200 Timeline Rd
200,Timeline,Road,Lampe ,65681,31,36.56775,-93.483194,200 Timeline Rd
465,Uniqueville,Lane,Lampe ,65681,31,36.59275362,-93.49708207,465 Uniqueville
76,Bradford Place,,Branson,65616,32,36.63632338,-93.32751908,76 Bradford Place #6 
780,Cron,Road,Lampe ,65681,32,36.543427,-93.455032,780 Cron Rd
780,Cron,Road,Lampe ,65681,32,36.543427,-93.455032,780 Cron Rd
9,Hickory,Drive,Kimberling City,65686,32,36.64156722,-93.42891246,9 Hickory Dr
9,Hickory,Drive,Kimberling City,65686,32,36.64156722,-93.42891246,9 Hickory Dr
187,Melody Manor,Lane,Reeds Spring,65737,32,36.659223,-93.455957,187 Melody Mannor
6619,MO 13,,Lampe ,65681,32,36.5645281,-93.4375294,6619 State Hwy 13
50,MO H,,Lampe ,65681,32,36.56420111,-93.43933265,50 State Hwy H
16,Spinwheel,Lane,Blue Eye,65611,32,36.53457931,-93.31568792,16 Spinwheel Lane
1121,State Line,Road,Blue Eye,65611,32,36.49892079,-93.41584455,1121 State Line Rd
49,Fellowship,Lane,Blue Eye,65611,33,36.52053885,-93.37706908,49 Fellowship Lane
